sentences,EF,INF,ADR,DI,others,annotation,review_id,sentence_id,sent_start,sent_end
И знаете он мне помог и причем существенно.,1,0,0,0,0,EF[2],885375,8,426,469
"Жаль, никакой помощи не последовало, болезнь прогрессировала.",0,1,0,0,0,INF[1],2433935,9,729,790
За это времья ты не успееш использовать все лекарство.,0,0,0,0,0,NEUTRAL,644737,6,261,315
"При простуде очень действенно, особенно на её начальной стадии.",1,0,0,0,0,EF[1],271761,5,208,271
"К удивлению у моего кума были проблеммы с ЦНС и он лечился тоже кавинтоном, очень помог ему.",1,0,0,0,0,EF[4],618094,7,736,828
"Пакетики выпускаются по 2 штуки, при отрыве которых они рвутся, а содержимое норовит быть рассыпанным.",0,0,0,0,0,NEUTRAL,899066,4,497,599
Но мне на данный момент Арбидол не помогает.,0,1,0,0,0,INF[3],2510045,13,771,815
"А карандаш для ингаляций очень удобный: и небольшой тоже по размеру, и понюхал, нос пробило.",1,0,0,0,0,EF[1],893239,11,470,562
"В силу своего возраста в моей семье часто приходится брать успокоительные капельки -боярышника, пустырника, валерианы и тому подобное.",0,0,0,0,0,NEUTRAL,2439706,2,43,177
Через пару дней горло становится значительно лучше.,1,0,0,0,0,EF[1],2522797,7,440,491
После приема сон наступал достаточно быстро - через 15-20 минут.,1,0,0,0,0,EF[1],747352,3,155,219
"Начала пить антигистаминный препарат и мне легче стало уже через полдня, чесаться перестало и покраснение пошло на спад.",1,0,0,0,0,EF[2],2515768,9,486,606
И это ПРИ ПОСТОЯННОМ ПРИЕМЕ на протяжении 4хмесяцев.,0,0,0,0,0,NEUTRAL,2734640,15,598,650
"Все повторилось, никакого спокойного обволакивающего засыпания.",0,1,0,0,0,INF[1],2427129,5,612,675
Помогает.,1,0,0,0,0,EF[2],818395,3,119,128
"Лучше уж старые проверенные методы, обычный сахар за несусветно большие деньги.",0,0,0,0,0,NEUTRAL,2662704,4,206,285
Эффективны и нам они помогли в комплексе с другими лекарственными препаратами.,1,0,0,0,0,EF[1],2525665,5,309,387
"Мне легче ни стало даже на 3 день приема Ингавирина, хотя принимать начала при первых симптомах.",0,1,0,0,0,INF[1],614513,6,541,637
Да и не помогает оно ничего.,0,1,0,0,0,INF[2],644737,8,349,377
И температуры не стало!,1,0,0,0,0,EF[3],655424,6,332,355
"Не знаю как вам, но в моем случае помог, поэтому пока я ему доверяю.",1,0,0,0,0,EF[2],24065,10,807,875
"Я выпила таблетки намазала, муж в другой аптеке купил ацикловир.",0,0,0,0,0,NEUTRAL,2490571,10,765,829
Сейчас очень много всяких продуктов помогающих поддержать детскую иммунную систему.,0,0,0,0,0,NEUTRAL,2389422,1,0,83
Эффекта я не увидела никакого.,0,1,0,0,0,INF[3],938978,6,301,331
"Даже уснуть не помогает, нужно более сильное средство.",0,1,0,0,0,INF[1],2491250,6,504,558
"Нам не помог, результата не заметила, ребенок как был вредный и капризный, такой и остался.",0,1,0,0,0,INF[1],2660532,1,0,91
"К сожалению, никакого эффекта от этих таблеток я не увидела.",0,1,0,0,0,INF[3],2729929,5,341,401
"Пришлось опять идти в аптеку покупать Називин, помог тут же.",1,0,0,0,0,EF[2],2390747,3,161,221
"Курс приема всего 2 недели, сейчас ребенок послушный, больше стали с ним разговаривать, появилась усидчивость, больше стишков стал запоминать, и в садике стали хвалить.",1,0,0,0,0,EF[2],2660532,4,211,379
"Ребенка я тогда из простуды вытянула буквально за неделю, но списала все на вовремя и грамотно начатое лечение.",1,0,0,0,0,EF[1],2695134,3,112,223
Но факт остается фактом.,0,0,0,0,0,NEUTRAL,588478,10,632,656
Время использования: 2009,0,0,0,0,0,NEUTRAL,2396436,8,725,750
"Мне кажется, что он не эффективен.",0,1,0,0,0,INF[1],591900,7,599,633
"Помню даже в период беременности герпес у меня вылез над губой, и врач разрешил применение данного средства, сказав, что это местное лечение и особо не всосется в кровь и вреда не нанесет ребенку.",0,0,0,0,0,NEUTRAL,2724762,3,231,427
Цена его конечно немного кусается но видя результат можно и потратить такие деньги.,0,0,0,0,0,NEUTRAL,2460790,9,694,777
И более того с обратным действием - вызывает заложенность и удушье.,0,1,0,0,0,INF[1],2461263,5,198,265
Я аж вздрогнула!,0,0,0,0,0,NEUTRAL,624086,6,278,294
Я купил глицисед и принимал его неделю.,0,0,0,0,0,NEUTRAL,579743,3,102,141
"Не тратьте деньги на это неэффективное средство, мое мнение.",0,1,0,0,0,INF[1],2418508,5,105,165
Общее впечатление : Помогает.,1,0,0,0,0,EF[3],643275,18,977,1006
"Так что не особенно помогает, и еще самое неприятное чувство сдавленности в почках как раз таки часа в 4-5 утра попробовала не принимать его все прошло никаких болей сдавленностей в почках.",1,1,0,0,0,EF[1]|INF[2],1071769,3,226,415
"НО вот ректальные свечи ""Виферон"" (а также свечи ""Генферон лайт"") при болезнях помогают справится с инфекцией, если конечно, инфекция вирусная, а не бактериальная.",1,0,0,0,0,EF[1],2686291,4,388,551
"Муж приобрел в аптеке шипучие таблетки Антигриппин NatureProduct, в его состав входит парацетомол, а это первое средство для понижения температуры.",0,0,0,0,0,NEUTRAL,874652,3,85,232
Но должной профилактики Анаферон не оказал.,0,1,0,0,0,INF[2],273783,5,249,292
"Главное не употребляйте ее как средство от похмелья, я пытался но от нее начинается полное бессилия и состояние становиться только хуже и еще дольше отходишь.",0,1,0,0,0,INF[1],2822501,6,538,696
"Не хотелось никуда ходить, краситься и даже одеваться.",0,0,1,0,0,ADR[2],76765,9,453,507
Вот так вот я в нем и разочаровалась.,0,0,0,0,0,NEUTRAL,612803,8,818,855
Общее впечатление : Помогает при вирусных заболеваниях RATING 4 NOTE,0,0,0,0,0,NEUTRAL,934850,8,408,476
и температура была несколько разэ и мы прекратили его пить.,0,0,0,0,0,NEUTRAL,1111461,5,319,378
"Прекрасно успокаивают нервную систему, благоприятно действуют на сердечно сосудистую и нормализовывают желудочно -кишечный тракт .",1,0,0,0,0,EF[1],656242,2,77,207
Несколько успокаивало.,1,0,0,0,0,EF[2],822352,9,624,646
"Одного пакета хватает на 2-3 часа для устранения и облегчения симптомов, облегчает насморк и заложенность носа, уменьшает отек слизистой оболочки.",1,0,0,0,0,EF[1],2410173,6,410,556
Принимала изопринозин по назначению гинеколога от вируса папиломы.,0,0,0,0,0,NEUTRAL,2015980,1,0,66
Вывод: при профилактике бесполезен вообще.,0,1,0,0,0,INF[1],2497493,8,575,617
Это средство эффективное и пока не подводило.,1,0,0,0,0,EF[1],2402827,7,401,446
"После приема действительно становилось легче, и горло меньше болело и нос не так закладывало.",1,0,0,0,0,EF[1],246591,5,334,427
"Препарат Анаферон нужно давать как можно раньше, когда ребенок только начал болеть.",0,0,0,0,0,NEUTRAL,2533836,4,274,357
Общее впечатление : Мне не помогает.Не нравится.,0,1,0,0,0,INF[3],902248,17,792,840
"Выпила вторую таблетку, как прописано через сутки-На меня сразу напали все болезни мира-Глаза изнутри выдавливало, кашель сорвал всё горло, я себя буквально по частям отрывала от дивана, что бы подняться, лицо отекло, слабость ужасная.",0,1,0,0,0,INF[1],828556,4,263,498
"Долгое время я для своей дочки покупала мазь Виферон, она немного сильнее геля, но из-за того, что в последнее время в аптеках ее не найти, мы перешли на гель.",0,0,0,0,0,NEUTRAL,610650,2,121,280
"И тогда врач нам выписал сумомед, мы его пропили, но ребенок болел, пошли снова к врачу.",0,1,0,0,0,INF[1],793853,3,334,422
Все зависит от иммунитета.,0,0,0,0,0,NEUTRAL,2723162,9,369,395
Не помогали ни бензодиазепины ни сонапакс ни галоперидол ни трифтазин.,0,1,0,0,0,INF[2],2702457,4,131,201
"На самом деле, то он эффективен, но что же там такое в составе, что так быстро проходит болезнь, явно не волшебное составляющее(.",1,0,0,0,0,EF[3],656346,3,117,246
Общее впечатление : И лечились и профилактика фигня!,0,1,0,0,0,INF[2],905423,7,725,777
"Как я заметила, после приема снотворного можно быстро заснуть.",1,0,0,0,0,EF[2],2661222,3,229,291
"Мне очень помогли и я хочу, чтобы они и вам принесли пользу!",1,0,0,0,0,EF[2],655424,11,602,662
"где-то, уже точно не помню даже, но помогает хорошо.",1,0,0,0,0,EF[1],2551970,4,265,317
"Валерьянка противопоказана той категории людей, которые страдают депрессией и другими умственными расстройствами.",0,0,0,0,0,NEUTRAL,2551970,6,529,642
Желаю всем доброго здоровья и чтобы вы как можно реже пользовались своей аптечкой!,0,0,0,0,0,NEUTRAL,2513399,12,807,889
После его приема у меня возникало желание поскорее лечь под теплое одеяло и уснуть.,0,0,0,0,0,NEUTRAL,1031967,5,215,298
"К сожалению полностью избавиться от нее невозможно, поэтому борюсь как могу.",0,0,0,0,0,NEUTRAL,2537356,2,66,142
"Я намазываю на проблемный участок раза 3 - 4 в день, крем довольно быстро убирает красноту и обеспечивает противовирусный эффект.",1,0,0,0,0,EF[2],942403,7,543,672
"Так что для людей подверженных стрессам, я думаю эти таблетки то, что надо.",0,0,0,0,0,NEUTRAL,1049528,7,602,677
"Сильный насморк у малышки прекратился за 2 дня, я в шоке.",1,0,0,0,0,EF[2],2509783,3,195,252
Спустя 3 месяца после родов решила сходить к врачу просто провериться и как оказалось пришла не зря.,0,0,0,0,0,NEUTRAL,880567,1,0,100
"Пользы нет, зато для щитовидки вред!",0,1,0,0,0,INF[2],1484511,8,872,908
Общее впечатление : отвратительный RATING 1 NOTE,0,0,0,0,0,NEUTRAL,807762,2,126,174
"А мне с герпесом не помог никак(постоянно высыпает на руке), как были высыпания так и есть, даже во время приема появлялись.",0,1,0,0,0,INF[1],656118,9,632,756
Хорошо так же пить на ночь - нормализует сон.,1,0,0,0,0,EF[5],264987,10,763,808
Закапывала своим деткам.,0,0,0,0,0,NEUTRAL,250977,9,532,556
"С этими таблетками знакома не понаслышке, ,моя родственница болеет психическим заболеванием, может по 3 дня не спать и по ночам ходить., перепробовав много снотворных помогло это., донормил не помогает при психическом расстройстве.",0,1,0,0,0,INF[1],818785,1,0,231
"3 дня и бляшка, которая обычно к этому моменту уже с половину губы, почти засохла.",1,0,0,0,0,EF[1],2501540,6,277,359
Перечитав кучу информации об экстренных мерах при укусе клеща нашла в рекомендациях к применению Анаферон.,0,0,0,0,0,NEUTRAL,2547762,6,356,462
"Валерьянка на меня давно не действует, а что-нибудь ""потяжелее"" я не хочу принимать.",0,1,0,0,0,INF[2],832096,3,201,285
"Быстро избавиться от заболевания у меня не получается, дошло до того, что, харкая, как верблюд, еще чуть-чуть, и выплюну легкие в раковину, извините за сравнение.",0,0,0,1,0,DI[1],899066,2,56,218
К тому же еще и иммунитет повышают.,1,0,0,0,0,EF[1],883078,5,190,225
"Я попробовала ксимелин эко и на себе, действительно спрей оказывает очень мягкое воздействие, при этом борется с насморком.",1,0,0,0,0,EF[1],2430254,7,485,608
Оно еще больше стало раздраженным.,0,1,0,0,0,INF[6],2733509,11,602,636
"После принятия первой таблетки, мне показалось что какой то эффект есть, (наверное, сработало самовнушение), проснувшись на второй день поняла что мне стало еще хуже и болезнь продолжает набирать обороты.",0,1,0,0,0,INF[1],806166,6,449,653
Но ребенок заболевал не зависимо от того принимали мы Анаферон или нет.,0,1,0,0,0,INF[3],273783,7,389,460
Покупала препарат ребёнку по рекомендации врача.,0,0,0,0,0,NEUTRAL,2414358,1,0,48
"Свое прямое назначение он выполнил, сопелки у дочки к вечеру практически прошли.",1,0,0,0,0,EF[1],2421166,4,155,235
"Запасаюсь и таблетками, у меня уже есть хорошее средство от гриппа и ОРВИ, проверенное с прошлого года.",1,0,0,0,0,EF[2],822369,3,170,273
"После 3-го укола сын начал проявлять интерес к повторению звуков, новые звуки появлялись, старые мог повторять по несколько раз, слов как таковых новых не произносил.",1,0,0,0,0,EF[1],2424557,4,216,382
"Пропила курс таблеток, выпила всю пачку и эффекта ноль.",0,1,0,0,0,INF[2],2423783,7,476,531
"А в остальном очень удобная штука, которая действительно помогает.",1,0,0,0,0,EF[2],893239,18,753,819
"Эффект от таблеток появился уже через неделю, пропала раздрожительность, плаксивость, стала ко всему относится спокойней.",1,0,0,0,0,EF[1],2538754,4,193,314
"""Генферон лайт"" из холодильника не выводится, хотя его положительного действия я тоже не вижу.",0,1,0,0,0,INF[2],824781,3,50,144
"Новерное ""долечилась"".",0,0,0,0,0,NEUTRAL,805646,9,527,549
Я с детства состою на учете у психиатра.,0,0,0,0,0,NEUTRAL,2702457,1,0,40
При соблюдении схемы приема действительно помогает.,1,0,0,0,0,EF[1],814053,3,166,217
"В некоторых случаях может болеть желудок, но если его пить лошадиными дозами.",0,0,0,0,0,NEUTRAL,2445498,15,854,931
"Правда эффект от неё наступает медленно, но очень стабильно.",0,0,0,0,0,NEUTRAL,2665872,7,587,647
"Но это если слабая простуда, с насморком и горло немножко болит... А вот если сильно простудились, грипп с переходом в сильный бронхит то флюколд очень слабенький... Единственное что он может, это снять температуру, да и то не всегда.",1,0,0,0,0,EF[2],2395998,2,57,291
"Так вот, после того, как одна свечка была использована, я почувствовала общее недомогание, еще хуже, чем было.",0,1,0,0,0,INF[1],2438387,6,312,422
"Но тут звонит мне сестра, мать троих маленьких детей.",0,0,0,0,0,NEUTRAL,884467,3,117,170
"Начали его применять в пятницу и сразу спала температура, на следующий день улучшилось состояние ребёнка, НО в воскресенье утром после очередного введения препарата пошла сыпь.",1,0,0,0,0,EF[1],2550809,2,54,230
"В аптеках во всех продается, очень мазь популярная, цена доступная, ну и эффект, два-три дня и боль от герпеса уходит, а потом и он сам подсыхает и исчезает с лица.",1,0,0,0,0,EF[1],2724762,4,428,592
Я всегда быстро разжевываю пару таблеток глицина и мне становится спокойнее.,1,0,0,0,0,EF[5],2445498,9,559,635
"В день собеседования я всё же ощущала мандраж, но сумела справится с дрожью в голосе и внешне выглядела достаточно уверенно.",1,0,0,0,0,EF[2],2670555,10,654,778
"Если вам нужно быстрое выздоровление, то этот препарат поможет вам бытро и эффективно!",1,0,0,0,0,EF[1],587207,6,326,412
"По результату они мне помогли быть поспокойнее, хорошо засыпать.",1,0,0,0,0,EF[1],2738039,12,560,624
Так что мне эта настойка не помогла.,0,1,0,0,0,INF[1],2443740,9,608,644
"Незаменимый препарат, когда болеть некогда, необходимо идти на работу, если у тебя нет права на больничный.",1,0,0,0,0,EF[1],656346,5,382,489
Этим средством температуру ребенку я сбить не смогла.,0,1,0,0,0,INF[1],2550136,8,489,542
Помогло.,1,0,0,0,0,EF[1],613806,5,344,352
"Нашла решение в донормиле, выпиваешь - засыпаешь!",1,0,0,0,0,EF[1],108315,4,220,269
"И, если честно, мне не помогло.",0,1,0,0,0,INF[1],2445928,7,390,421
"Результат - по речи у нас ни каких сдвигов так и не произошло, а вот моргать глазками малой перестал.",1,1,0,0,0,INF[3]|EF[1],2414724,3,278,379
знаю препарат Лавомакс давно.,0,0,0,0,0,NEUTRAL,2553831,1,0,29
"Стоит недешево, а эффекта - ноль.",0,1,0,0,0,INF[2],815444,13,744,777
"Температура правда спала, но после приема третей таблетки начал закашливаться аш до рвоты, мондраш волнами, давление 130(хотя с давлением вообще проблем не было), жуткая головная боль.",1,0,0,0,0,EF[1],1325273,2,44,228
Это универсальные свечи.,0,0,0,0,0,NEUTRAL,882854,15,520,544
Постоянные внутренние переживания и чувство тревоги действительно очень сильно осложняли мне жизнь.,0,0,0,0,0,NEUTRAL,792635,1,0,99
Глаза теперь меньше устают.,1,0,0,0,0,EF[2],2436921,6,346,373
Горло у ребенка через несколько дней пришло в норму.,1,0,0,0,0,EF[4],643275,9,462,514
Это довольно увесистый бутыль объёмом 100 мл.,0,0,0,0,0,NEUTRAL,2465822,4,212,257
Идти больницу времени на это не было.,0,0,0,0,0,NEUTRAL,2538754,2,74,111
"В первые дни приема не замечала никаких изменений, результатов.",0,1,0,0,0,INF[1],2424525,3,291,354
Давненько не болели серьёзно с температурой.,1,0,0,0,0,EF[1],2436411,4,211,255
"После первой недели сразу заметила, он стал более внимательным, начал отвечать на вопросы как ""разговаривают животные"", до этого, добиться от него хоть слова было очень трудно, только если хорошее настроение.",1,0,0,0,0,EF[1],2407197,3,159,367
Общее впечатление : Часа 4 нормального сна,0,0,0,0,0,NEUTRAL,1071769,4,416,458
Из огня так в полымя.,0,0,0,0,0,NEUTRAL,594103,5,106,127
"В состав входит римантадин-иммуномодулятор, что помогает по сравнению с остальными порошками от простуды на много эффективнее.",1,0,0,0,0,EF[2],587207,3,97,223
Уже после первой таблетки зуб прошел.,1,0,0,0,0,EF[1],1086939,11,714,751
Прекрасное эффективное средство.,1,0,0,0,0,EF[3],2663253,10,340,372
Пока что помогает.,1,0,0,0,0,EF[1],2451820,8,464,482
"Лечение было комплексным: иглоукалывание, массаж, Мой отзыв о нейромультивит Упаковка имеет дополнительную защиту с голограммой Таблетки овальной формы не совсем крупные Моему ребенку назначен для восстановления кровообращения (что бы конечности не были холодными) Препарат просто очень дорогостоящий на сегодня нужно было пропить курс три упаковки, пропили уже две, но пока особого эффекта не заметили.",0,1,0,0,0,INF[2],2543301,3,310,713
стало только хуже.,0,0,0,0,0,NEUTRAL,2491980,6,156,174
"Результат тоже был как и от ацикловира, чего-то сверхъестественного не заметила, герпес длился, как обычно, четыре дня, потом попустило.",1,1,0,0,0,EF[2]|INF[1],2493805,6,548,684
"Она нам прописала лекарственное средство Пантогам, сказала просто пропить для лучшей мозговой деятельности.",0,0,0,1,0,DI[1],1105026,2,34,141
очередная бессонная ночь.,0,1,0,0,0,INF[1],929986,12,535,560
"Примерно через 2 недели после курса лечения стал пытаться разговаривать, но все равно именно говорить у малыша не получается, больше мычит.",1,0,0,0,0,EF[3],609740,3,166,305
Вот и я решила в очередной раз попробовать крем для наружного применения Фенистил Пенцивир.,0,0,0,0,0,NEUTRAL,2493805,3,240,331
Действующее вещество в нём ксилометазолина гидрохлорид.,0,0,0,0,0,NEUTRAL,2430254,2,46,101
Общее впечатление : Хорошее средство для нормализации нервишек.,1,0,0,0,0,EF[3],832096,13,814,877
Иммунитет поднимает хорошо.,1,0,0,0,0,EF[2],953794,6,407,434
Отличное средство при борьбе с герпесом.,1,0,0,0,0,EF[1],832817,11,895,935
Пьешь -эффекта никакого нет вообще.,0,1,0,0,0,INF[1],2519044,5,446,481
"Решилась выпить амексин, тк осталась одна в другом городе с 3х летней дочерью, муж уехал в командировку и некому было помоч.",0,0,0,0,0,NEUTRAL,901487,3,164,288
"Общее впечатление : Дорого, ребенку больно - эффекта ноль!",0,1,0,0,0,INF[2],886355,13,768,826
Перехожу на ацитилку.,0,0,0,0,0,NEUTRAL,2696309,4,122,143
RATING 2 NOTE,0,0,0,0,0,NEUTRAL,886355,14,827,840
"Хотя ребенок перестал жаловаться на то, что иногда сводит ногу.",1,0,0,0,0,EF[1],2543301,5,813,876
Иногда казалось что вирусы привыкли к лекарству и попросту на него не реагируют.,0,1,0,0,0,INF[2],2457636,6,496,576
Новый друг хуже старых полюбому!,0,0,0,0,0,NEUTRAL,2439190,2,95,127
"В общем это хорошее средство от герпеса, но его нужно принимать курсом.",1,0,0,0,0,EF[2],609507,22,926,997
"Поняла что эффект от таблеток ноль и принимать дальше их не стала, перешла на привычное средство, которое еще ни разу меня не подводило, а стоит в пять раз дешевле.",0,1,0,0,0,INF[2],806166,8,705,869
Я оценила лечебные свойства этого препарата.,0,0,0,0,0,NEUTRAL,643275,8,417,461
"Принимать его надо как написано в инструкции, а не устраивать самодеятельность.",0,0,0,0,0,NEUTRAL,635587,5,260,339
Фактически вместо успокоения я получил усиление стресса.,0,0,0,0,0,NEUTRAL,2653333,6,560,616
Так что советую немного сэкономить и сделать своему ребенку эту прививку - не пожалеете.,0,0,0,0,0,NEUTRAL,2453106,5,619,707
"горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.",1,0,0,0,0,EF[1],826379,7,252,334
Пропив одну коробку(10 флаконов) мы перестали болеть и ребёнок отходил в сад два месяца.,1,0,0,0,0,EF[1],885404,7,412,500
"Единственное преимущество - это приемлемая цена, по сравнению с другими снотворными препаратами "" Сондокс"" очень дешевый, но качество не очень уж.",0,0,0,0,0,NEUTRAL,2671902,4,294,440
"Получив его ""по наследству"" и имея свои проблемы со сном и нервами, пропив остаток, сказала бы, что он мне помог снять нервное напряжение, немного успокоится.",1,0,0,0,0,EF[1],2439706,8,521,679
"Но нельзя, пока все инфекции не вылечить.",0,0,0,0,1,Other[2],882854,3,70,111
"Стало не то, что лучше и спокойней, а наоборот все бесило.",0,1,0,0,0,INF[1],76765,5,264,322
"Теперь я думаю, что препарат Кагоцел лишь только маленько поддержал мой организм, но с болезнью не справился.",0,0,0,0,0,NEUTRAL,2673128,9,710,819
А так препарат очень хороший и что немаловажно не очень дорогой.,1,0,0,0,0,EF[5],609507,17,725,789
"Жене помогло, воспаление было связано с гинекологией.",1,0,0,0,0,EF[2],591673,2,195,248
"Подумать только - абсолютно неэффективный препарат (основанный исключительно на эффекте плацебо и на том, что вирусные инфекции дыхательных путей проходят сами по себе, с течением времени - а больные связывают это с действием амизона) стал самым продаваемым на территории Российской Федерации за 2014 и 2013 года!",0,1,0,0,0,INF[1],2421119,5,441,754
"Может в других ситуациях лекарство работает, но мне не помогло и советовать его я никому не могу.",0,1,0,0,0,INF[1],2733948,10,819,916
"Сразу же отмечу, что цена этой чудо- мази около 300 рублей, в отличии от привычного мне ацикловира, который стоит чуть ли не в 10 раз дешевле.",0,0,0,0,0,NEUTRAL,2523468,2,238,380
"Вот сколько не пробовала пить на ночь таблетки валерианы, всегда на утро результат один и тот же тяжелая как после похмелья голова и уже к обеду хорошая мигрень.",0,0,0,0,0,NEUTRAL,87095,1,0,161
"Эх, беда-беда.",0,0,0,0,0,NEUTRAL,2519044,9,693,707
На нем есть вся аннотация.,0,0,0,0,0,NEUTRAL,2489974,4,164,190
