human_label	predicted_label	doc_id	sent_id	text
NEUTRAL	EF	2433935	7	Через пару месяцев такой случай подвернулся.
EF	INF	826379	14	В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
EF	INF	1133905	7	Итог: препарат работает, но такая работа и её последствия - врагу не пожелаешь!
NEUTRAL	INF	1133905	3	Пил год феназепам, спасибо тетке - поделилась, пока не закончился.
EF	INF	2402827	2	Этот спрей нам иногда помогает, когда уже насморк запущен настолько, что уже ничего не помогает.
EF	INF	2402827	7	Это средство эффективное и пока не подводило.
INF	NEUTRAL	2729929	7	По мне, так это пустышка, которая может обладать только эффектом плацебо.
NEUTRAL	EF	2729929	4	Тенотен должен был оказать успокаивающее и противотревожное действие, но при этом не вызывая сонливости и заторможенности.
INF	EF	807762	1	После него на 4 день с 37,3 у ребенка 4 лет поднялась температура до 38,00, лучше инфлюцид, который действительно помогает!!!
NEUTRAL	EF	807762	2	Общее впечатление : отвратительный RATING 1 NOTE
INF	NEUTRAL	2397151	11	Разочарована, так как пьешь в надежде на хотя бы месячную ремиссию, тратишь деньги(стоит не дешево), о времени и надеждах вообще не упоминаю.
NEUTRAL	INF	2397151	5	Температура выше субфибрильной 37,2 не поднимается, но самочувствие при этом- полная дрянь.
NEUTRAL	INF	2501951	4	Может быть его надо периодически употреблять, не знаю, но это наводит на мысль о его бесполезности.
INF	EF	618939	7	Ощущение предболезненное.
INF	NEUTRAL	618939	12	Возможно это личная непереносимость, но на фоне предыдущего опыта с ваксигриппом ощущения крайне неприятные.
NEUTRAL	EF	656330	8	Поэтому я считаю что мазь малоэффективна.
EF	NEUTRAL	894083	7	Не могу сказать что питаю к Тонзилгону нежные чувства, но препарат однозначно достойный!
NEUTRAL	EF	2389422	7	Ребенок стал болеть пуще прежнего, конечно виной всему адаптация к новому коллективу.
NEUTRAL	EF	2461263	5	И более того с обратным действием - вызывает заложенность и удушье.
INF	NEUTRAL	1484511	8	Пользы нет, зато для щитовидки вред!
NEUTRAL	EF	2396436	3	Когда я читала его инструкцию, для меня стало неожиданностью, что он воздействует не только на работу сердца, но и положительно влияет на другие органы и системы.
INF	NEUTRAL	805646	1	После двух раз применения, с промежутком в 12 часов, получила признаки простуды (обильные выделения из носа (больше справа), чихание, увеличение шейных лимфоузлов).
EF	NEUTRAL	3004353	1	Конкретно успокаивают посильнее иных таблеток.
INF	NEUTRAL	2380047	15	Больше не куплю, деньги на ветер.
INF	NEUTRAL	955050	10	Нет того спокойствия как в танке, как многие утверждали.
NEUTRAL	INF	955050	13	Но для меня Тенотен - нет.
EF	INF	2538754	5	На месяц мне хватило 2х упаковок, пусть он и дороже многих успокоительных средств, но эффект от него есть.
NEUTRAL	INF	2538754	1	Был сложный период в жизни, нервы шалили не на шутку, по ночам не спала .
INF	NEUTRAL	2663330	11	Пили и болели.
NEUTRAL	EF	656261	5	Да и стоимость курса лечения заметно увеличивается исходя из назначаемых доз, накладно как-то.
INF	EF	2544941	7	Да, говорит, мне мама во время вирусов давала, правда толку немного, но не вредит же.
NEUTRAL	INF	2418508	1	Всем привет!
NEUTRAL	EF	2423783	3	И вот по телевизору увидела рекламу о лекарстве "Тенотен" все нахваливают говорят что классный, и в аптеке тоже сказали что препарат хороший.
NEUTRAL	EF	2695437	6	Сам спрей довольно резкий, жжет слизистую некоторое время после нанесения, ребенку не нравится.
EF	NEUTRAL	1740396	7	Результаты стали видны через две недели, каждый день начали появляться новые слова, но был один момент.
EF	NEUTRAL	2445904	3	Она недорогая, простая в применении - всего лишь смазать внутри носа перед выходом из дома, и путь вирусной инфекции в организм закрыт) Ещё ею можно мазать герпетическую сыпь, особенно в комплексе с противовирусными таблетками.
NEUTRAL	EF	2661222	4	Кроме применения лекарственнных препаратов, вечером, перед сном я стараюсь успокоиться, снять эмоциональное напряжение.
EF	NEUTRAL	822369	8	В прошлом году я приняла трехдневный курс лечения "Эргофероном" и полностью вылечилась.
EF	NEUTRAL	822369	9	Таблетки "Эргоферона" кроме лечебного эффекта, являются отличным профилактическим средством.
NEUTRAL	INF	2702457	2	Одним из симптомов моего заболевания-с 5 лет упорная бессонница.
INF	NEUTRAL	579743	4	В результате понял, что это не медикаментозный препарат, а банальная биодобавка, от которой толку как с козла молока :) Понял это по НУЛЕВОМУ результату лечения.
EF	NEUTRAL	2460790	6	Результат мы увидели через месяц.
EF	NEUTRAL	2460790	7	Наш малыш начал говорить по два три слова в предложении.
NEUTRAL	INF	950111	7	В составе действительно нет ничего страшного.
INF	NEUTRAL	936675	9	Я говорю, что не действует, а они все равно выписывают.
NEUTRAL	EF	936675	14	Дешевле, но зато как эффективно.
NEUTRAL	EF	2443740	2	нагрузки на учебе, летом толком не отдохнула, погода оставляет желать лучшего.
INF	EF	591900	3	Мы пробовали, когда была просто аллергия на непонятный нам продукт - легче не стало.
INF	NEUTRAL	591900	6	Я тоже пострадала от укусов комаров летом, тоже мазалась и тоже как чесалась так и чесалась.
EF	INF	832817	8	Правда, осталась еще маленькая ранка, но зато губу не раздуло, не разнесло, дальше герпес не пошел.
NEUTRAL	EF	832817	3	Я какие только средства не перепробовала: и Герпевир, и Зовиракс и еще какое-то средство было, а еще врач мне порекомендовал еще на ранней стадии появления герпеса присушивать его спиртом, вернее спиртовым раствором (кстати, помог).
INF	EF	905423	7	Общее впечатление : И лечились и профилактика фигня!
NEUTRAL	INF	905423	2	Второй раз, заболела я, и хотела подать ребенку противовирусное средство, чтобы не заразился, в итоге заболел малой больше чем я. Стоит этот сироп я бы сказала дорого, а эффекта особо мы не увидели.
INF	NEUTRAL	578508	4	Пробовала давать отдельно, как профилактику, съедают целую пачку, а толка никакого, а стоят не дёшево.
EF	INF	2443835	6	Не знаю, может быть, это было просто самовнушение, что я пила профилактический препарат, а может, действительно, "Эхинацея" сработала.
INF	NEUTRAL	2658215	2	Он то да, притупил основные симптомы гриппа, но бороться с ним мне пришлось все-таки с помощью антибиотика.
NEUTRAL	INF	591856	18	Выкинутые деньги и всё.
NEUTRAL	INF	653736	7	Результатов никаких!
NEUTRAL	EF	978728	1	Были проблемы со сном, как в последствии выяснилось причиной тому стал высокий холестерин, Скинув до нормы бесоницы больше нет.
EF	INF	656118	6	Не знаю совпадение это или препарат помог, пока ребенок его принимал в течение месяца вообще не болел.
INF	EF	592814	5	Начала его принимать совершенно здоровой, через 1,5 недели после приема заболела.
INF	EF	592814	6	Вот и вывод препарат по идее должен был уже начать действовать так как минимальный курс его приема составляет 1 неделю, а заболела я на 11 день после начала приема.
INF	EF	592814	7	Пропив 5 упаковок это примерно 500-600 рублей пять лет назад, я как болела, так и продолжала болеть.
EF	NEUTRAL	2516885	7	Выпив одну таблетку сон долго не заставляет себя ждать.
NEUTRAL	INF	2716232	3	С тех пор простуду лечу только им.
NEUTRAL	EF	2509783	1	У ребенка начался сильный насморк(нам было 2 месяца), спросила у подружки чем лечились, сказала что прописали свечи Виферон 500000 и промывание.
INF	NEUTRAL	2698684	14	Горло как было красное так и осталось.
NEUTRAL	EF	2385125	13	Вызывает сонливость в течении дня.
EF	INF	1097205	7	В целом, если хотите заснуть, то донор мил поможет, но последствия того не стоят!
EF	INF	2500754	2	Его посоветовала моя мама, мол хорошая вещь, и не вредит, и помогает.
EF	NEUTRAL	2500754	6	Тот случай, когда лечим, но не калечим.
EF	NEUTRAL	2489974	9	Перед сном просто отличное средство.
NEUTRAL	EF	650293	4	Ребенка так измучаем, что он уже боится всех процедур, связанных с носом.
NEUTRAL	INF	1058674	2	Конечно волшебного эффекта я от данного препарата не ждала, прочитала отзывы и инструкцию в интернете, в том числе и о побочных эффектах, но все-таки решила купить, тем более ранее у ребенка аллергии на лекарственные препараты не было.
EF	NEUTRAL	883078	2	Раньше довольно часто использовала данный препарат Положительное действие свечки видно сразу же.
NEUTRAL	EF	883078	10	Это необходимо, чтобы такой явный положительный эффект сохранялся.
NEUTRAL	EF	2407176	1	В три года ребенок начал подхватывать инфекции очень часто.
EF	NEUTRAL	2446305	15	А как хороший эффективный препарат- "Гриппферон" советую применять.
NEUTRAL	EF	2446305	2	Конечно лучше его использовать как только почувствовали первые признаки недомогания.
INF	EF	806166	6	После принятия первой таблетки, мне показалось что какой то эффект есть, (наверное, сработало самовнушение), проснувшись на второй день поняла что мне стало еще хуже и болезнь продолжает набирать обороты.
NEUTRAL	EF	806166	2	Заболела достаточно сильно, а выздороветь хотелось как можно быстрее.
EF	NEUTRAL	2428518	10	Это средство дополняет основное лечение.
NEUTRAL	EF	2428518	2	Здесь нас выручает крем Evergetikon.
INF	EF	1263039	7	Пока проводилось лечение Вифероном, результата не ощущалось, как только врач назначил другое лекарство, улучшение наступило очень быстро.
NEUTRAL	EF	1263039	6	Но температура не спадала, сделали укол, стало лучше.
INF	EF	649988	7	Общее впечатление : Плохой препарат!
NEUTRAL	INF	815444	6	Ведь сейчас найти информацию и исследования препаратов не проблема, спасибо мед.
NEUTRAL	EF	811523	1	В последние годы простудные заболевания всё чаще и чаще проникают в мой организм.
NEUTRAL	EF	2465822	2	Так как это средство облегчает первые признаки боли в горле.
EF	INF	2546207	6	Нам отлично он подошел, никаких аллергических реакций(в побочых действиях написано, возможно ), прием через час после еды, или за час до еды.
NEUTRAL	INF	632718	1	Покупал при простуде - результатом не доволен.
EF	INF	655424	6	И температуры не стало!
EF	NEUTRAL	2424679	11	Нос конечно, еще мучает, но для него есть и другие лекарства, а то, что нет ломоты и температуры, я все могу делать-это плюс!
NEUTRAL	INF	1049528	8	Общее впечатление : не вызывает сонливости
INF	NEUTRAL	2502303	10	Цена приемлемая, ухудшений нет.
NEUTRAL	INF	2502303	4	Меня, почему-то эта ситуация сразу не насторожила, и я пошла таки в аптеку.
INF	NEUTRAL	252735	6	Когда мы в последний раз лежали в больнице, заведующий отделением сказал: "Анаферон- убогое средство, попробуй Назаферон."
EF	INF	252735	8	К моему удивлению уже 9 месяцев не болеем.
EF	INF	874652	7	На утро была как огурчик, но ослаблена.
EF	INF	874652	8	Ведь Антигриппин снимает только симптоматику, лечение ни кто не отменял.
NEUTRAL	EF	874652	6	Затем следующую таблетку выпила перед сном на ночь и тоже потела всю ночь.
NEUTRAL	INF	942403	2	Так как переплачивать за бренд (типа Зовиракс) не вижу смысла, при первых признаках "простуды" на губах беру крем ацикловир.
EF	NEUTRAL	2439506	2	Во время приёма препарата ребёнок не болел.
NEUTRAL	EF	2463217	3	С сыном стали заниматься дома развитием речи, а поскольку он у меня очень беспокойный, на месте практически не сидит, то стали принимать этот препарат, в надежде, что он станет поспокойнее.
EF	INF	609191	7	Сначала - эффекта никакого, на пятый день я действительно вроде поуспокоилась, но стала кружить голова, да так что в стороны заносило, с давлением появились проблемы.
INF	NEUTRAL	2502253	7	Вроде как по описаниям и действующему веществу эффект должен был быть, но увы... В инструкции так все расписано об эффективности препарата, вот она.
INF	EF	2502253	8	В общем эффект от приема таблеток- НУЛЕВОЙ.
EF	INF	2522797	6	Тут такого вкуса нет, но зато есть эффект.
NEUTRAL	EF	2522797	3	Прописал мне их врач, скачал принимать по 3 раза день после еды, со словами, что данный препарат весьма эффективен против больного горла.
EF	INF	875711	8	Через несколько дней от простуды не осталось и следа.
EF	INF	2657172	1	По своему личному опыту могу сказать, что препарат лишь купирует проявления простудного заболевания, избавляет от симптомов, но не вылечивает полностью.
NEUTRAL	EF	2412180	1	Я очень боюсь сквозняков, в результате которых у меня очень часто появляется простуда на губах и глазах.
INF	EF	588478	8	А вот муж, на 5 день заболел и заразил меня.
EF	INF	2436411	4	Давненько не болели серьёзно с температурой.
NEUTRAL	EF	2700413	3	Как и любой другой препарат он может хорошо подходить одним и совершенно не подходить другим.
INF	EF	273783	10	Может быть препарат действительно помогает, но я этого не поняла.
EF	NEUTRAL	2436921	5	Плюс капель, что они действуют комплексно, борются с причинами и устраняют симптомы.
NEUTRAL	EF	2445928	6	Цена кусается.
EF	NEUTRAL	624086	12	Общее впечатление : Помогает не хуже других лекарственных средств.
NEUTRAL	EF	624086	7	Конечно здоровье ребёнка важнее, но честно говоря, Анаферон ни чуть не хуже Кипферона.
EF	NEUTRAL	610650	6	А если вовремя начать использовать Виферон, можно и совсем остановить болезнь.
INF	NEUTRAL	2403676	5	И вообще ничего не произошло.
INF	NEUTRAL	2460904	2	Сама бы я ему эту разрекламированную пустышку никогда не дала, но не догадалась спросить, чем именно его лечат, когда сообщил, что простыл, понадеялась на квалифицированный персонал, а зря.
INF	NEUTRAL	834566	4	На следующий день на неделю сел на больничный.
INF	NEUTRAL	834566	12	Снова сел на неделю на больничный.
INF	EF	2541096	4	Сколько уже даем его при каждой простуде, эффекта я от него не вижу, всегда болеем дней 5-7, а иногда и того больше!
INF	EF	944009	11	Общее впечатление : Курс прошёл,а горло так и болит...
INF	EF	818785	1	С этими таблетками знакома не понаслышке, ,моя родственница болеет психическим заболеванием, может по 3 дня не спать и по ночам ходить., перепробовав много снотворных помогло это., донормил не помогает при психическом расстройстве.
EF	INF	2670555	8	На вторые сутки уже ощущался эффект.
EF	INF	2670555	9	Я не сказала бы, что это было спокойствие, скорее собранность и более холодная рассудительность.
INF	EF	2696309	2	Второй день принимаю, легче не становится.
INF	EF	2660532	4	Курс приема всего 2 недели, сейчас ребенок послушный, больше стали с ним разговаривать, появилась усидчивость, больше стишков стал запоминать, и в садике стали хвалить.
NEUTRAL	EF	2660532	6	Всем подругам советую, если есть проблемы в воспитании детей.
EF	NEUTRAL	2734640	9	Ну и 3 месяца высыпаний не было.
INF	NEUTRAL	2734640	11	Но после сильного стресса в начале декабря герпес снова дал о себе знать.
INF	EF	2734640	14	Вроди прекрасно, но через неделю опять рецидив.
NEUTRAL	EF	2734640	1	Подхватила генитальный герпес весной 2015.
EF	NEUTRAL	910944	5	Уже после пары иньекций сын начал с удовольствием заниматься, слушать стихи, раньше его было не заставить.
EF	NEUTRAL	910944	7	Не развернутыми предложениями, конечно, но с каждым днем все лучше и лучше.
INF	NEUTRAL	2491980	6	стало только хуже.
EF	NEUTRAL	822853	2	Валтрекс мне понравился больше.
EF	INF	886333	4	Да, эффект был, кисты рассосались.
NEUTRAL	EF	2555494	10	Кроме того, во время и после его применения у ребенка резко снизился аппетит.
