132423-N-184745	жаропонижать средство
126089-N-171740	допинг
126089-N-723370	допинговый средство
151375-N-736018	служба скорый помощь
151375-N-736017	служба скорый медицинский помощь
150035-N-730046	свиной грипп
7617-N-103355	донорство
7617-N-122056	донорский помощь
129545-N-179041	шаман
129545-N-191851	шаманка
129934-N-184097	сеть аптека
129934-N-122760	аптечный система
129934-N-121894	аптечный сеть
129934-N-121891	аптечный служба
129739-N-179433	спервать воздух
129739-N-185995	спертость
129739-N-179431	духота
5423-N-104690	кариосить
113534-N-151743	рентгенология
10105-N-121264	наркология
132708-N-106976	мост
132708-N-210043	искусственный челюсть
132708-N-157255	челюсть
132708-N-210042	вставной челюсть
132708-N-185823	зубной мост
3464-N-108262	оспа
9861-N-121656	томография
9861-N-217690	томографический исследование
9861-N-217691	томографический сканирование
7784-N-107217	народный медицина
7784-N-114151	целительство
7784-N-722333	лечение народный средство
9478-N-119896	миом
6259-N-105720	лейкозать
6259-N-111164	миеломный болезнь
6259-N-110529	рак кровь
6259-N-100899	белокровие
6259-N-105719	лейкемия
9493-N-119963	холецистит
115333-N-182529	алкогольный психоз
115333-N-133462	белый горячка
111428-N-146384	перевязывание
111428-N-752058	перевязка рана
111428-N-146383	перевязка
111428-N-683979	наложение повязка
9821-N-121223	постельный режим
129939-N-677353	ацетилсалициловый кислота
129939-N-124869	аспирин
2947-N-713109	показатель заболеваемость
2947-N-103677	заболеваемость
140335-N-155414	трусец
140335-N-209530	бег трусец
152067-N-740314	упражнение с предмет
119526-N-712018	колющий боль
119526-N-183945	колотье
146293-N-704778	болезнетворный организм
146293-N-705250	возбудитель инфекция
146293-N-101907	возбудитель инфекционный болезнь
146293-N-138380	зараза
146293-N-121018	патогенный микроорганизм
146293-N-104374	инфекция
146293-N-121019	болезнетворный микроорганизм
114192-N-152408	свеча
114192-N-670503	лекарственный свеча
114192-N-152412	свечка
114192-N-670504	суппозиторий
138978-N-205588	маммография
7103-N-110229	психиатрический помощь
9786-N-121431	анестезиолог
8510-N-115503	гонорея
8510-N-155361	триппер
9189-N-150348	противоядие
9189-N-118326	антидотный средство
9189-N-118314	антидот
112579-N-119738	инфаркт
126321-N-167941	изжога
111546-N-122577	косметология
144724-N-137250	драже
109331-N-158000	экзема
109331-N-709494	мокнуть лишать
8861-N-690817	онкологический отделение
8861-N-165069	онкодиспансирать
8861-N-690815	онкологический больница
8861-N-690816	онкологический клиника
8861-N-165073	онкоцентр
8861-N-116832	онкологический диспансер
136976-N-199302	плацебо
136668-N-167972	психоаналитик
138079-N-697868	фейслифтинг
138079-N-203255	подтяжка лицо
9649-N-120664	меланом
9649-N-120663	рак кожа
4954-N-710983	грязь для лечение
4954-N-102830	грязь
4954-N-105849	лечебный грязь
4359-N-136954	дифтерять
4359-N-103214	дифтерия
115471-N-139731	капсул
115471-N-744181	лекарственный капсул
115471-N-144036	облатка
115471-N-215846	желатиновый капсул
4230-N-122527	диетпитаний
4230-N-103128	диетический питание
4230-N-103125	диета
4230-N-105859	лечебть -профилактический питание
117639-N-681124	болеутоляющий действие
117639-N-681123	болеутоление
117639-N-681008	обезболивать действие
117639-N-107744	обезболиваний
124585-N-168801	сексолог
143085-N-671698	кифоз
4759-N-122233	дезинсекциоть работа
4759-N-102899	дезинсекция
1062-N-106266	медико-санитарный помощь
1062-N-187069	услуга здравоохранение
1062-N-121767	медицинский мера
1062-N-102049	врачебный помощь
1062-N-106313	медицинский уход
1062-N-120924	медико-оздоровительный услуга
1062-N-106318	медицинский наблюдение
1062-N-204004	медицинский обеспечение
1062-N-106282	медицинский помощь
1062-N-106322	медицинский обслуживание
1062-N-106276	медицинский деятельность
1062-N-106336	медобслуживание
1062-N-120929	медпомощь
1062-N-179891	медуслуга
1062-N-106294	медицинский услуга
109333-N-113343	угорь
113873-N-147109	пластический операция
113873-N-162348	пластик
135821-N-196567	анальгетический препарат
135821-N-194796	анальгетик
141530-N-213950	парацетамол
147740-N-715112	парафармацевтика
5648-N-102470	гимнастика
136420-N-196856	дефибрилляция
122222-N-166054	кровосос
136228-N-195859	инфекционный и паразитарный болезнь
132245-N-184708	маньяк
132245-N-191394	маньячка
138981-N-205601	маммология
135277-N-193131	работник физический культура
135277-N-691700	работник физический культура и спорт
135277-N-691701	работник физкультура и спорт
148386-N-720121	чувство тяжесть
148386-N-720123	болезненный тяжесть
148386-N-155560	тяжесть
148386-N-720120	ощущение тяжесть
4941-N-103555	женский консультация
114939-N-191390	лунатичка
114939-N-141727	лунатик
114939-N-153640	сомнамбула
111184-N-133030	аппендицит
109812-N-195400	воспаление брюшина
109812-N-146855	перитонить
113479-N-122705	фтизиатрия
136417-N-196825	дерматит
136417-N-196826	воспаление кожа
9131-N-672099	снотворный средство
9131-N-672100	лекарство от бессонница
9131-N-672101	снотворный препарат
8441-N-115248	гинекология
115427-N-123029	ординатор
9454-N-119816	болезнь почка
9454-N-123977	почечный синдром
146508-N-116956	витаминный препарат
146508-N-101559	витамин
146508-N-707805	витаминный комплекс
4030-N-102401	гепатит
4030-N-137579	желтух
148622-N-721401	кислородный терапия
148622-N-721402	оксигенотерапия
148622-N-721400	кислородотерапия
132281-N-184746	дисбактериоз
1071-N-113588	фармакология
1071-N-113593	фармацевтический наука
129698-N-729786	лечебный ванна
129698-N-134161	ванна
9451-N-123946	анамнестический сведение
9451-N-119707	анамнез
9451-N-121768	медицинский анамнез
147471-N-670477	врождать порок развитие
147471-N-123569	врождать порок
146261-N-705107	кишечный палочка
146261-N-705106	патогенный кишечный палочка
120914-N-195347	подкладный судно
120914-N-112354	судно
131850-N-104533	йод
131850-N-183795	йодный раствор
131850-N-214464	раствор йод
126344-N-120630	инкубационный период
126344-N-172429	инкубация
153577-N-164018	полосканий
9872-N-119186	медицинский карта
9872-N-700757	медкарт
9872-N-715402	обменный карта
131853-N-183799	йодирований
125928-N-171413	горб
125928-N-727126	горб на спина
141111-N-212296	наркологический больной
141111-N-212295	лицо с наркологический расстройство
141111-N-212297	наркологический пациент
4949-N-115575	медвытрезвитель
4949-N-102185	вытрезвитель
4949-N-106301	медицинский вытрезвитель
112450-N-121954	абсцесс
129699-N-678980	грязелечение
129699-N-179355	грязевой процедура
129699-N-678981	грязетерапия
129699-N-179356	грязевой ванна
8406-N-118722	ранить лицо
1066-N-112746	терапевт
129896-N-121989	автоклавирований
5389-N-209220	лечение в больница
5389-N-102606	госпитальный лечение
5389-N-112094	стационарный лечение
5389-N-101086	больничный обслуживание
5389-N-209221	больничный лечение
5389-N-122097	стационарный медицинский обслуживание
5389-N-727305	лечение в стационар
145273-N-691288	пластический хирург
3081-N-151785	рецепт
3081-N-203932	рецепт на лекарство
3081-N-110842	рецепт врач
3081-N-173470	медицинский рецепт
10123-N-123051	пластический хирургия
141663-N-214343	медкомиссия
141663-N-214342	медицинский комиссия
1065-N-719552	терапевтический метод
1065-N-122314	терапевтический коррекция
1065-N-184846	терапевтический курс
1065-N-119476	восстановительный терапия
1065-N-112749	терапия
7474-N-120690	лекарственный растительный сырье
7474-N-105728	лекарственный растительный сырье
7474-N-715971	лекарственный сырье растительный происхождение
10055-N-122786	детский болезнь
10055-N-208419	детский заболевание
4570-N-112901	токсин
4570-N-715353	биотоксин
132794-N-186053	лаборант медицинский учреждение
124410-N-168460	интернатура
3471-N-108417	медицинский оптика
123681-N-167059	паллиативный медицина
7505-N-676992	поражение мозг
7505-N-676993	болезнь головной мозг
7505-N-101078	болезнь мозг
114693-N-153862	спазма
114693-N-153861	спазм
114693-N-140503	конвульсия
114693-N-123458	судорога
4803-N-111142	санитарный карантить контроль
4803-N-123966	карантить инспекция
4803-N-124099	санитарный карантинный мероприятие
4803-N-119006	карантить формальность
4803-N-104682	карантить досмотр
4803-N-118112	карантить проверка
4803-N-104683	карантить контроль
4803-N-123970	карантить надзор
116865-N-133259	бандаж
116865-N-699897	медицинский бандаж
116865-N-688633	бандажный изделие
116865-N-688635	лечебно-бандажный изделие
4449-N-110884	родовспомогательный учреждение
4449-N-110877	родильный дом
4449-N-110875	роддом
4449-N-120211	акушерский пункт
4449-N-115614	учреждение родовспоможений
146201-N-704953	санитарный эпидемиологический мероприятие
2937-N-715956	лекарственный вид растение
2937-N-105727	лекарственный растение
2937-N-715955	лекарственный флора
4218-N-108226	ортопедический изделие
4218-N-691330	изделие ортопедический назначение
4218-N-691332	ортопедический товар
4218-N-691331	товар ортопедический назначение
4218-N-669660	ортопедический продукция
4218-N-691333	ортопедический оборудование
144301-N-681296	пульмонолог
112055-N-139239	ингалятор
9050-N-117626	кофеин
9682-N-120974	ангина
9869-N-121790	грыжа
9869-N-121791	грыжевой выпячивание
144734-N-174613	ожирение
133287-N-187448	прямой массаж сердце
133287-N-187447	массаж сердце
5751-N-106155	марля
136755-N-197835	эмболия
148860-N-722703	остановка кровь
148860-N-722699	остановка кровотечение
7788-N-107203	наркоман
7788-N-202696	наркопотребитель
7788-N-715164	лицо с наркологический зависимость
7788-N-202695	наркобольная
7788-N-125335	наркоманка
7788-N-202697	наркопотреблений
7788-N-125354	пользователь наркотик
7788-N-115729	потребитель наркотик
7788-N-121320	больной наркомания
110224-N-152655	сердечник
110224-N-671138	сердечный больной
110224-N-191702	сердечница
150577-N-163767	нытий
150577-N-183336	щемлений
150577-N-732731	ныть боль
5184-N-118958	зубоврачеваний
5184-N-112152	стоматология
9805-N-121609	инфузионный терапия
9805-N-121567	инфузия
6962-N-752094	понижать слух
6962-N-178516	тугоухость
6962-N-115567	потеря слух
6962-N-214466	понижение острота слух
6962-N-178517	ослабление слух
6962-N-752093	нарушить слух
6962-N-107259	нарушение слух
6962-N-116319	дефект слух
6962-N-118876	глухота
137737-N-202351	акробатический трюк
4624-N-110083	протезирование
4624-N-110085	протезный помощь
4362-N-104948	коклюш
7000-N-110317	работа в сверхурочный время
7000-N-111224	сверхурочный работа
4705-N-110234	психиатрический освидетельствование
4705-N-110230	психиатрический экспертиза
135772-N-194701	аденовирус
3073-N-114068	холера
2283-N-736273	хронический течение
2283-N-114105	хронический болезнь
2283-N-114106	хронический заболевание
6202-N-112897	токсикология
109020-N-216538	кандидозный стоматит
109020-N-142403	молочница
6161-N-101001	биопсия
131481-N-705339	оздоровительный гимнастика
131481-N-204974	физический зарядка
131481-N-749018	утренний гимнастика
131481-N-707840	физзарядок
131481-N-138412	зарядка
131481-N-182998	утренний зарядка
9472-N-724531	лепрозорный учреждение
9472-N-119887	лепрозорий
1036-N-100489	аптека
1036-N-121890	аптечный предприятие
1036-N-100491	аптечный учреждение
1036-N-116574	аптечный организация
1036-N-673810	аптечный киоск
1036-N-213699	фармацевтический организация
1036-N-121892	аптечный пункт
1036-N-117042	предприятие аптечный сеть
112546-N-146067	палочка
112546-N-118880	бацилла
112546-N-194925	палочковидный бактерия
110949-N-152201	сальто
110949-N-152202	сальто-мортале
8776-N-116383	отит
113568-N-157498	чума
8120-N-100746	бальнеология
1045-N-123580	врачебный кадр
1045-N-158119	эскулап
1045-N-708136	докторша
1045-N-137097	доктор
1045-N-135038	врачиха
1045-N-123582	врачебный персонал
1045-N-102047	врач
9333-N-119217	эндоскопический аппаратура
9333-N-121607	лапароскоп
9333-N-121611	эндоскоп
138032-N-203167	прекурсор
146935-N-710618	кризис болезнь
146935-N-172847	кризис
110825-N-145366	отек
141880-N-214959	газ в кишечник
141880-N-214958	метеоризм
154462-N-757198	шунтирование сосуд
154462-N-197174	шунтирование
9766-N-120024	флюорографический обследование
9766-N-121375	флюорография
9766-N-156652	флюрография
9766-N-165256	флюорографический осмотр
137570-N-201733	плоскостопие
113976-N-152407	светолечений
113976-N-176715	фототерапия
153574-N-749808	зеленка
126783-N-173343	кардиохирургать
7514-N-104195	иммунопрофилактика
7514-N-104184	иммунизация
115463-N-196868	диагностика заболевание
115463-N-196866	диагностика болезнь
115463-N-756393	постановка диагноз
115463-N-210431	диагностика состояние здоровье
115463-N-136851	диагностирование
115463-N-709421	диагносцирований
115463-N-121433	медицинский диагностика
115463-N-136850	диагностика
146493-N-173089	манеж
146493-N-707721	спортивный манеж
146493-N-707723	крыть манеж
7918-N-110258	психотерапия
7918-N-122059	психотерапевтический помощь
108841-N-124940	чесотка
5567-N-108465	паралич
4035-N-108073	онкологический заболевание
4035-N-690807	онкологический процесс
4035-N-690809	раковый процесс
4035-N-110554	раковый заболевание
4035-N-110528	рак
4035-N-690808	онкопроцесс
4035-N-121787	злокачествать процесс
4035-N-139698	канцер
4035-N-165070	онкозаболеваний
112828-N-150677	радикулит
111252-N-143434	невролог
111236-N-103476	душевнобольной
111236-N-191666	психопатка
111236-N-184709	психический больной человек
111236-N-150489	психический больной
111236-N-191665	психопат
9049-N-187669	механический орган
9049-N-116003	искусственный орган
4727-N-113213	туберкулез
9238-N-118605	рахит
1043-N-109147	поликлиника
1043-N-100413	амбулатория
1043-N-109149	поликлинический учреждение
3046-N-211626	клинический база
3046-N-104889	клиника
3046-N-119086	клинический центр
3046-N-104891	клинический больница
137082-N-199709	чешуйчатый лишать
137082-N-199708	псориаз
8771-N-116500	стоматолог
8771-N-136597	дантист
8771-N-117543	зубной врач
108894-N-147057	пиявка
108894-N-177256	пиявочка
115335-N-742763	бельмо на глаз
115335-N-133495	бельмо
7529-N-121180	способ лечение
7529-N-106591	метод лечение
7529-N-106827	медицинский практика
7529-N-118356	медицинский методика
7529-N-104892	клинический практика
145229-N-690811	онкологический больной
145229-N-690813	раковый больной
145229-N-690812	онкобольный
145229-N-690814	больной рака
153540-N-749500	упражнение для растяжка
153540-N-749499	упражнение на растяжка
153540-N-167520	растяжка
9026-N-117559	сиделка
137006-N-199453	гематолог
114764-N-140163	клоп
143075-N-671650	хирургический нож
147992-N-715829	лечебный форма растение
8705-N-116192	катаракта
127557-N-175268	пломбирований
127557-N-685688	пломбирований зуб
8161-N-188489	инфлюэнец
8161-N-102781	грипп
8641-N-116057	гельминтоз
8641-N-688842	глистный заболевание
8641-N-202400	глистный инвазие
125738-N-170950	воспаленность
151820-N-738970	твердый лекарственный форма
3100-N-112791	техника безопасность
3100-N-674594	правило безопасность
3100-N-674593	правило техника безопасность
144274-N-736457	доброкачественный образование
144274-N-161613	доброкачественность
144274-N-681203	доброкачественный новообразование
144274-N-681202	доброкачественный опухоль
6087-N-119475	нейтронный терапия
6087-N-106043	лучевой терапия
6087-N-119245	медицинский рентгенорадиологический процедура
6087-N-106319	медицинский облучение
6087-N-713145	радиотерапия
8560-N-122289	искусственный зуб
8560-N-120320	зуботехнический продукция
8560-N-115648	зубной протез
8560-N-724424	вставной зуб
8636-N-115954	гинеколог
7859-N-110105	противозачаточный средство
7859-N-105276	контрацептив
128086-N-725862	полип слизистый оболочка
128086-N-148048	полип
136907-N-198767	эфедрин
136907-N-203138	псевдоэфедрин
142595-N-217385	министерство здравоохранение и социальный развитие
125112-N-169728	воздушный ванна
9025-N-111126	санитарка
9025-N-116063	санитар
9025-N-163765	няня
9025-N-174404	нянечка
9803-N-689897	головневый заболевание
9803-N-121610	головнить
108862-N-167895	воспалительный процесс
108862-N-134919	воспаление
139201-N-138855	зонд
139201-N-206582	медицинский зонд
9444-N-119739	инъекция
9444-N-196640	вливание
9444-N-721315	введение раствор
9444-N-729787	инъекция лекарство
9444-N-742692	укольчик
9444-N-155881	укол
109552-N-157149	цинга
1049-N-101549	вирус
3329-N-105860	лечебный -профилактический учреждение
3329-N-122591	лечпрофучреждений
3329-N-122976	лечебть -профилактический предприятие
132185-N-184575	ломота
132185-N-720074	тупой боль
149923-N-729376	вымывание из организм
149923-N-701814	вымываний
9224-N-691498	респираторный вирусный заболевание
9224-N-118404	острый респираторный заболевание
9224-N-691494	острый респираторный вирусный заболевание
9224-N-691495	респираторно вирусный инфекция
9224-N-122124	острый респираторный инфекция
9224-N-691493	острый респираторный вирусный инфекция
9224-N-691496	острый инфекция дыхательный путь
9224-N-182511	острый инфекция верхний дыхательный путь
9224-N-182510	орви
9224-N-182509	орв
9224-N-122282	респираторно вирусный заболевание
9224-N-691497	респираторный вирусный инфекция
127556-N-175271	пломба
127556-N-214091	зубной пломба
127556-N-685693	пломба зуб
133432-N-174864	откачиваний
116375-N-207960	капля
116375-N-139718	капля
6324-N-723778	медицинский формирование
6324-N-113549	учреждение здравоохранение
6324-N-117143	учреждение общественный здравоохранение
10142-N-218050	пункт первый помощь
10142-N-193806	травмпункт
10142-N-193807	травмотологический пункт
10142-N-122689	травмопункть
10142-N-218049	пункт скорый помощь
154697-N-759276	домашний арена
154697-N-759275	домашний стадион
9045-N-117608	нарушение опорно-двигательный аппарат
110088-N-140150	клиницист
134969-N-195949	врачеватель
134969-N-192423	целитель
134969-N-192421	лекарь
134969-N-195950	врачевательница
134969-N-192426	исцелитель
134969-N-192425	целительница
134969-N-192427	исцелительница
6034-N-111160	санитарный автотранспорт
6034-N-111159	санитарный автомобиль
6034-N-111132	санитарный машина
6034-N-111129	санитарный автомашина
109003-N-114936	ячмень
109003-N-206099	ячмень на глаз
109003-N-726491	глазной ячмень
127566-N-175295	паркинсонизм
127566-N-175294	болезнь паркинсон
2925-N-106296	медицинский экспертиза
2925-N-106324	медицинский освидетельствование
2925-N-120216	амбулаторный освидетельствование
2925-N-115946	медэкспертиза
2925-N-120925	медицинский переосвидетельствование
6199-N-208225	сэс
6199-N-121918	орган санэпиднадзорый
6199-N-121915	санитарный учреждение
6199-N-111146	санитарный профилактический учреждение
6199-N-111174	санитарный эпидемиологический станция
6199-N-121916	санитарный орган
6199-N-123961	санэпидемслужба
6199-N-114694	санэпидемстанция
6199-N-121921	санэпидслужба
6199-N-119666	санэпидстанция
6199-N-121922	санэпидучреждений
6199-N-114749	эпидемиологический станция
6199-N-123939	станция эпидемнадзор
6199-N-704954	орган госсаннадзор
6199-N-704955	орган госсанэпиднадзор
3646-N-104188	иммунобиологический средство
3646-N-104187	иммунобиологический препарат
3646-N-708120	иммуномодулятор
3646-N-104194	иммунопрепарать
3646-N-711752	иммуномодулируть препарат
3646-N-711754	иммунокорректор
10053-N-122524	дерматолог
10053-N-122525	дерматовенеролог
10053-N-140252	кожник
10053-N-182535	дермато-венеролог
9456-N-119713	гемофилия
9456-N-119818	несвертываемодать кровь
128285-N-737718	провал в сознание
128285-N-176144	потеря сознание
137887-N-116629	простуда
137887-N-727605	губной герпес
137887-N-141561	лихорадка
137887-N-202773	лихорадка на губа
137887-N-202774	простуда на губа
125029-N-100468	антисептик
9324-N-684677	конноспортивный клуб
9324-N-119194	конный -спортивный комплекс
9324-N-119193	конно-спортивный база
9324-N-684676	конноспортивный комплекс
123824-N-677443	облучение кварц
123824-N-167357	кварцеваний
123824-N-139947	кварц
6143-N-100394	аллергология
121265-N-136523	гудение
122221-N-166053	кровососущий насекомое
149202-N-724536	зубной поликлиника
149202-N-724533	стоматологические клиника
149202-N-123958	стоматологические поликлиника
149202-N-724538	стоматологические центр
149202-N-112152	стоматология
149202-N-724537	зубной клиника
149202-N-724539	зубной центр
149202-N-724534	зубоврачебный клиника
149202-N-724535	зубоврачебный поликлиника
149202-N-724540	зубоврачебный центр
2930-N-725441	санаторно-курортный обеспечение
2930-N-117834	санаторно-курортный оздоровление
2930-N-700430	санкурлечений
2930-N-121826	амбулаторно-курортный лечение
2930-N-121827	курортно -амбулаторный лечение
2930-N-111118	курортный лечение
2930-N-111121	санаторный лечение
2930-N-117680	санаторно-курортный помощь
2930-N-105640	санаторно-курортный лечение
7278-N-122057	трансплантологический помощь
7278-N-218107	трансплантация человеческий орган
7278-N-218105	трансплантация ткань
7278-N-218106	трансплантация орган
7278-N-113052	трансплантация
7278-N-218104	пересадка ткань
7278-N-108701	пересадка орган
7278-N-218103	медицинский трансплантация
1042-N-117799	санаторно-курортный организация
1042-N-103955	здравница
1042-N-105639	курортный организация
1042-N-105642	курортный учреждение
1042-N-111116	санаторий
1042-N-117838	санаторный учреждение
1042-N-117836	санаторно-курортный объединение
1042-N-117083	санаторно-курортный предприятие
1042-N-111119	санаторно-курортный учреждение
1042-N-111120	санаторно-курортный комплекс
1042-N-117835	санаторно-курортный центр
1042-N-210405	санаторно -оздоровительный комплекс
1042-N-121480	санаторный комплекс
111615-N-103678	заболевание
9239-N-118449	паротит
9239-N-118625	свинка
145567-N-699807	носитель болезнь
131857-N-214393	росный ладан
131857-N-141235	ладан
8764-N-116420	проказа
8764-N-119886	лепр
4438-N-103188	диспансеризация
4438-N-103191	диспансерный учет
4438-N-103189	диспансерный наблюдение
4438-N-210428	периодический медицинский обследование
4438-N-120418	диспансерный контроль
4438-N-210429	периодический медицинский осмотр
133405-N-187688	микобактерия
108965-N-167125	вензаболевание
108965-N-101374	венерический болезнь
108965-N-101376	венерический заболевание
6337-N-143596	нервный болезнь
6337-N-107562	нервно-мышечный заболевание
6337-N-669635	поражение нервный система
6337-N-133775	болезнь нервный система
6337-N-211914	заболевание нервный система
6337-N-107453	неврологический заболевание
137616-N-201950	компьютерный томография
