synset_id	sense_id	sense_term	synset_id_no_pos
108863-A	108863-A-135833	гайморитный	108863
9014-A	9014-A-136122	гнойниковый	9014
9014-A	9014-A-143184	нарывный	9014
7506-A	7506-A-158088	энцефалитный	7506
111184-A	111184-A-133031	аппендицитный	111184
133318-A	133318-A-187500	одышечный	133318
8804-A	8804-A-150281	простудный	8804
9869-A	9869-A-168451	грыжевый	9869
9869-A	9869-A-168452	грыжевой	9869
113976-A	113976-A-152406	светолечебный	113976
136540-A	136540-A-698050	химиотерапевтический	136540
109688-A	109688-A-135920	геморроидальный	109688
109688-A	109688-A-135922	геморройный	109688
144269-A	144269-A-137580	желтушный	144269
9023-A	9023-A-141868	малярийный	9023
9805-A	9805-A-708631	инфузионный	9805
8510-A	8510-A-136213	гонорейный	8510
6004-A	6004-A-109154	полиомиелитный	6004
2635-A	2635-A-202657	наркозависимый	2635
4359-A	4359-A-136956	дифтерический	4359
4359-A	4359-A-136953	дифтерийный	4359
4359-A	4359-A-136955	дифтеритный	4359
125067-A	125067-A-169648	аритмический	125067
110150-A	110150-A-142208	мигреневый	110150
4727-A	4727-A-113214	туберкулезный	4727
9483-A	9483-A-159969	бесплодный	9483
4046-A	4046-A-121900	лечебно-профилактический	4046
4046-A	4046-A-121761	медико-профилактический	4046
4046-A	4046-A-120772	лечебно-оздоровительный	4046
141543-A	141543-A-205804	слабоумный	141543
136064-A	136064-A-214923	рвотный	136064
137435-A	137435-A-104192	иммунодефицитный	137435
137435-A	137435-A-118489	иммунопатологический	137435
142973-A	142973-A-164026	дренажный	142973
142973-A	142973-A-670596	дренажный процеура	142973
120996-A	120996-A-163267	тромботический	120996
124454-A	124454-A-135706	высыпной	124454
116900-A	116900-A-735221	бессонный	116900
8776-A	8776-A-145398	отитный	8776
4521-A	4521-A-149050	прививочный	4521
110393-A	110393-A-150492	психопатический	110393
4030-A	4030-A-135940	гепатитный	4030
128086-A	128086-A-148049	полипный	128086
5390-A	5390-A-715256	послеоперационный	5390
5390-A	5390-A-144785	операционный	5390
5390-A	5390-A-144783	оперативный	5390
5390-A	5390-A-113989	хирургический	5390
7918-A	7918-A-150494	психотерапевтический	7918
117985-A	117985-A-141885	маниакальный	117985
9491-A	9491-A-157667	шизофренический	9491
109333-A	109333-A-155714	угревой	109333
110165-A	110165-A-154737	таблеточный	110165
124017-A	124017-A-136062	глистный	124017
151334-A	151334-A-744020	сахароснижающий	151334
151334-A	151334-A-139301	инсулиновый	151334
112579-A	112579-A-139331	инфарктный	112579
133077-A	133077-A-186710	обморочный	133077
110168-A	110168-A-133981	брюшнотифозный	110168
110356-A	110356-A-143430	невралгический	110356
112452-A	112452-A-132749	авитаминозный	112452
4688-A	4688-A-154260	стерилизационный	4688
109936-A	109936-A-140602	конъюнктивитный	109936
130761-A	130761-A-188699	умственный отсталый	130761
2283-A	2283-A-163027	хронический	2283
5137-A	5137-A-169375	абортивный	5137
9224-A	9224-A-684363	респираторно-вирусный	9224
9231-A	9231-A-184184	косоглазый	9231
9231-A	9231-A-159164	косой	9231
6161-A	6161-A-101000	биопсийный	6161
6161-A	6161-A-133643	биопсический	6161
115124-A	115124-A-155377	тромбозный	115124
4684-A	4684-A-105148	коревой	4684
6041-A	6041-A-205714	менингитный	6041
112643-A	112643-A-135897	гастрический	112643
112643-A	112643-A-135896	гастритный	112643
144833-A	144833-A-686859	вегетососудистый	144833
110237-A	110237-A-133771	болезненный	110237
110237-A	110237-A-133769	болевой	110237
111256-A	111256-A-121273	невротический	111256
110398-A	110398-A-721637	истеричный	110398
110398-A	110398-A-721632	истерический	110398
114990-A	114990-A-154260	стерилизационный	114990
3214-A	3214-A-112141	столбнячный	3214
8482-A	8482-A-121721	сифилитический	8482
5567-A	5567-A-116093	паралитический	5567
5567-A	5567-A-146132	параличный	5567
9239-A	9239-A-152429	свинушный	9239
109296-A	109296-A-117218	катаральный	109296
108134-A	108134-A-721407	шоковый	108134
616-A	616-A-741991	недужный	616
7000-A	7000-A-670048	сверхурочный	7000
8159-A	8159-A-102510	гомеопатический	8159
109068-A	109068-A-100391	аллергический	109068
113568-A	113568-A-124500	чумной	113568
8705-A	8705-A-139870	катарактный	8705
4779-A	4779-A-104077	зубопротезный	4779
3949-A	3949-A-711583	психопатологический	3949
3949-A	3949-A-110253	психоневрологический	3949
110825-A	110825-A-145373	отечный	110825
9050-A	9050-A-164109	кофеиновый	9050
125387-A	125387-A-170221	бородавочный	125387
125387-A	125387-A-195356	бородавчатый	125387
6259-A	6259-A-133482	белокровный	6259
6259-A	6259-A-141375	лейкозный	6259
148386-A	148386-A-720124	налитый свинец	148386
6087-A	6087-A-713146	радиотерапевтический	6087
5177-A	5177-A-110636	реанимационный	5177
109331-A	109331-A-158001	экзематозный	109331
8509-A	8509-A-139528	ишемический	8509
141530-A	141530-A-213951	парацетамоловый	141530
113571-A	113571-A-215407	водолечебный	113571
8161-A	8161-A-102782	гриппозный	8161
113028-A	113028-A-143499	нейрохирургический	113028
4392-A	4392-A-144910	опухолевый	4392
3373-A	3373-A-132879	алкоголический	3373
1056-A	1056-A-202841	вич-инфицированный	1056
3700-A	3700-A-103135	дизентерийный	3700
5330-A	5330-A-113695	физиотерапевтический	5330
137570-A	137570-A-201734	плоскостопый	137570
7513-A	7513-A-116265	иммунологический	7513
127631-A	127631-A-175420	тошнотный	127631
9808-A	9808-A-700229	лапароскопический	9808
9808-A	9808-A-158080	эндоскопический	9808
9767-A	9767-A-151741	рентгенографический	9767
9767-A	9767-A-704548	радиографический	9767
9598-A	9598-A-133935	бронхитный	9598
8706-A	8706-A-136056	глаукомный	8706
108841-A	108841-A-124941	чесоточный	108841
8216-A	8216-A-123682	наркозный	8216
142000-A	142000-A-111299	бальнеологический	142000
142000-A	142000-A-125066	бальнеотерапевтический	142000
109961-A	109961-A-152992	сколиозный	109961
129698-A	129698-A-134164	ванный	129698
123979-A	123979-A-169079	гипотонический	123979
9677-A	9677-A-724957	фармакотерапевтический	9677
9400-A	9400-A-169918	близорукий	9400
112450-A	112450-A-132733	абсцессный	112450
109552-A	109552-A-157150	цинготный	109552
109990-A	109990-A-154246	стенокардический	109990
9406-A	9406-A-140322	колитный	9406
144031-A	144031-A-707816	аутичный	144031
144031-A	144031-A-714684	аутистический	144031
9484-A	9484-A-139302	инсультный	9484
112698-A	112698-A-205607	шелудивый	112698
112698-A	112698-A-205606	паршивый	112698
4035-A	4035-A-139699	канцерный	4035
4035-A	4035-A-151128	раковый	4035
5802-A	5802-A-690924	имбецильный	5802
5802-A	5802-A-690925	олигофренический	5802
3464-A	3464-A-145142	оспенный	3464
7393-A	7393-A-200194	атеросклеротический	7393
129454-A	129454-A-160290	свищевой	129454
129454-A	129454-A-178820	фистульный	129454
9444-A	9444-A-139339	инъекционный	9444
8094-A	8094-A-124018	анемический	8094
8187-A	8187-A-123890	акупунктурный	8187
8187-A	8187-A-138925	иглотерапевтический	8187
136318-A	136318-A-196877	диализный	136318
142357-A	142357-A-181599	депрессивный	142357
110468-A	110468-A-202103	параноидальный	110468
110468-A	110468-A-146137	параноический	110468
146293-A	146293-A-104373	инфекционный	146293
108862-A	108862-A-134921	воспалительный	108862
6044-A	6044-A-151620	ревматический	6044
6044-A	6044-A-151621	ревматоидный	6044
114693-A	114693-A-154530	судорожный	114693
114693-A	114693-A-153863	спазматический	114693
114693-A	114693-A-140502	конвульсивный	114693
7514-A	7514-A-139212	иммунизационный	7514
111236-A	111236-A-687934	психбольной	111236
111236-A	111236-A-700553	психбольная	111236
111236-A	111236-A-689199	страдающий психический заболевание	111236
111236-A	111236-A-689200	страдающий психический расстройство	111236
111236-A	111236-A-689201	страдающий расстройство психика	111236
110638-A	110638-A-181312	горячечный	110638
9856-A	9856-A-139797	кардиограммный	9856
109728-A	109728-A-152643	септический	109728
9278-A	9278-A-132942	ампутационный	9278
9238-A	9238-A-151564	рахитный	9238
7528-A	7528-A-195714	сальмонеллезный	7528
7782-A	7782-A-189553	пробирочный	7782
3729-A	3729-A-135866	гангренозный	3729
9387-A	9387-A-143234	насморочный	9387
129712-A	129712-A-677046	варикозный	129712
135455-A	135455-A-197070	удушающий	135455
135455-A	135455-A-203322	удушливый	135455
9414-A	9414-A-121961	кистозный	9414
111428-A	111428-A-210160	перевязочный	111428
1054-A	1054-A-104373	инфекционный	1054
114938-A	114938-A-153642	сомнамбулический	114938
123981-A	123981-A-158218	язвенный	123981
142786-A	142786-A-683870	посттравматический	142786
10134-A	10134-A-167426	припадочный	10134
137126-A	137126-A-714221	катетеризировать	137126
137126-A	137126-A-714220	катетеризовать	137126
9473-A	9473-A-164911	анестетический	9473
3073-A	3073-A-114069	холерный	3073
110367-A	110367-A-148245	поносный	110367
136755-A	136755-A-197836	эмболический	136755
112828-A	112828-A-150678	радикулитный	112828
5423-A	5423-A-139809	кариозный	5423
9478-A	9478-A-142265	миомный	9478
9725-A	9725-A-165795	процедурный	9725
144274-A	144274-A-161614	доброкачественный	144274
114870-V	114870-V-150284	простукивать	114870
114870-V	114870-V-135683	выстукать	114870
114870-V	114870-V-135685	выстукивать	114870
114870-V	114870-V-150282	простукать	114870
124613-V	124613-V-168846	омертветь	124613
124613-V	124613-V-187792	отмереть	124613
124613-V	124613-V-187793	отмирать	124613
124613-V	124613-V-168845	мертветь	124613
4688-V	4688-V-154262	стерилизовать	4688
110638-V	110638-V-181301	лихорадить	110638
120814-V	120814-V-162841	лечиться	120814
120814-V	120814-V-753409	лечиться без врач	120814
114990-V	114990-V-154262	стерилизовать	114990
9231-V	9231-V-140761	косить	9231
9231-V	9231-V-748681	глаз косить	9231
9231-V	9231-V-748682	косить глаз	9231
108862-V	108862-V-700466	воспалиться	108862
108862-V	108862-V-700467	воспаляться	108862
9278-V	9278-V-145553	отнять	9278
9278-V	9278-V-145548	отнимать	9278
9278-V	9278-V-118873	ампутировать	9278
136064-V	136064-V-722159	вытошнить	136064
136064-V	136064-V-135256	вывернуть	136064
136064-V	136064-V-722160	выташнивать	136064
136064-V	136064-V-135283	выворачивать	136064
136064-V	136064-V-175421	стошнить	136064
136064-V	136064-V-151573	рвать	136064
136064-V	136064-V-135590	вырвать	136064
114693-V	114693-V-722295	мышца свести	114693
114693-V	114693-V-758770	сводить мышца	114693
9473-V	9473-V-164912	анестезировать	9473
5414-V	5414-V-201515	предупредить беременность	5414
5414-V	5414-V-201514	предупреждать беременность	5414
110237-V	110237-V-162804	побаливать	110237
110237-V	110237-V-137718	заболеть	110237
110237-V	110237-V-702346	поболеть	110237
110237-V	110237-V-176889	разболеться	110237
110237-V	110237-V-133778	болеть	110237
110237-V	110237-V-137717	заболевать	110237
137569-V	137569-V-751586	сердце прихватить	137569
137569-V	137569-V-751587	прихватить сердце	137569
116984-V	116984-V-136764	дергать	116984
116984-V	116984-V-154404	стрельнуть	116984
116984-V	116984-V-112225	стрелять	116984
9635-V	9635-V-146575	перелить	9635
9635-V	9635-V-198663	перелить кровь	9635
9635-V	9635-V-146574	переливать	9635
127631-V	127631-V-142610	мутить	127631
127631-V	127631-V-175422	подташнивать	127631
127631-V	127631-V-175418	тошнить	127631
127631-V	127631-V-183297	затошнить	127631
109636-V	109636-V-149533	прихватывать	109636
109636-V	109636-V-149531	прихватить	109636
5390-V	5390-V-200789	сделать операция	5390
5390-V	5390-V-215837	оперировать больной	5390
5390-V	5390-V-215838	оперировать пациент	5390
5390-V	5390-V-744373	перенести операция	5390
5390-V	5390-V-744374	переносить операция	5390
5390-V	5390-V-747722	лечь под нож	5390
5390-V	5390-V-200788	делать операция	5390
5390-V	5390-V-187541	соперировать	5390
5390-V	5390-V-108095	оперировать	5390
5390-V	5390-V-187540	прооперировать	5390
9444-V	9444-V-743183	вколоть лекарство	9444
9444-V	9444-V-721316	ввести раствор	9444
9444-V	9444-V-726655	сделать укол	9444
9444-V	9444-V-726654	делать укол	9444
9444-V	9444-V-155859	укалывать	9444
9444-V	9444-V-155882	уколоть	9444
9444-V	9444-V-743184	вкалывать лекарство	9444
5137-V	5137-V-714425	производить аборт	5137
5137-V	5137-V-714422	прерывать беременность	5137
5137-V	5137-V-714426	произвести аборт	5137
5137-V	5137-V-714424	сделать аборт	5137
5137-V	5137-V-714423	делать аборт	5137
4780-V	4780-V-145663	отравиться	4780
4780-V	4780-V-145666	отравляться	4780
111428-V	111428-V-752056	перевязать рана	111428
111428-V	111428-V-752057	перевязывать рана	111428
111428-V	111428-V-146385	перевязывать	111428
111428-V	111428-V-146380	перевязать	111428
111428-V	111428-V-683980	наложить повязка	111428
111615-V	111615-V-702349	подхватывать болезнь	111615
111615-V	111615-V-743790	скрутить болезнь	111615
111615-V	111615-V-687877	получить болезнь	111615
111615-V	111615-V-737529	заболеть болезнь	111615
111615-V	111615-V-137718	заболеть	111615
111615-V	111615-V-137717	заболевать	111615
111615-V	111615-V-172119	занемочь	111615
111615-V	111615-V-172120	захворать	111615
111615-V	111615-V-201539	подхватить болезнь	111615
137126-V	137126-V-714222	установить катетер	137126
137126-V	137126-V-714223	устанавливать катетер	137126
137126-V	137126-V-199924	ввести катетер	137126
137126-V	137126-V-199925	вводить катетер	137126
131335-V	131335-V-182691	заикаться	131335
148860-V	148860-V-722704	останавливать кровь	148860
148860-V	148860-V-722700	остановить кровотечение	148860
148860-V	148860-V-722701	останавливать кровотечение	148860
148860-V	148860-V-722702	остановить кровь	148860
125041-V	125041-V-165819	замораживать	125041
125041-V	125041-V-165818	заморозить	125041
119526-V	119526-V-140400	кольнуть	119526
119526-V	119526-V-712019	покалывать	119526
119526-V	119526-V-138039	заколоть	119526
119526-V	119526-V-140378	колоть	119526
118096-V	118096-V-182991	зарубцовываться	118096
118096-V	118096-V-152000	рубцеваться	118096
118096-V	118096-V-138407	зарубцеваться	118096
153162-V	153162-V-747060	наложить гипс	153162
153162-V	153162-V-747057	гипсовать	153162
153162-V	153162-V-747061	накладывать гипс	153162
153162-V	153162-V-747059	загипсовать	153162
4779-V	4779-V-215881	вставлять зуб	4779
4779-V	4779-V-215880	вставить зуб	4779
133567-V	133567-V-155868	укачивать	133567
133567-V	133567-V-155865	укачать	133567
2635-V	2635-V-753522	употреблять наркотик	2635
146536-V	146536-V-707949	накладывать шина	146536
146536-V	146536-V-707946	наложить шина	146536
7514-V	7514-V-139213	иммунизировать	7514
109860-V	109860-V-144349	обсыпать	109860
5177-V	5177-V-166039	реанимировать	5177
5177-V	5177-V-750099	реанимировать пострадавший	5177
137794-V	137794-V-744874	голова раскалываться	137794
137794-V	137794-V-208215	голова трещать	137794
137794-V	137794-V-208214	голова болеть	137794
118812-V	118812-V-149744	прогрессировать	118812
124454-V	124454-V-135701	высыпать	124454
128285-V	128285-V-195933	впадать в беспамятство	128285
128285-V	128285-V-759355	вырубиться	128285
128285-V	128285-V-698385	помутиться	128285
128285-V	128285-V-195934	впасть в беспамятство	128285
128285-V	128285-V-195931	впасть в забытье	128285
128285-V	128285-V-176143	терять сознание	128285
128285-V	128285-V-211567	провалиться в беспамятство	128285
128285-V	128285-V-176145	потерять сознание	128285
128285-V	128285-V-195932	впадать в забытье	128285
128285-V	128285-V-749538	помутиться в голова	128285
128285-V	128285-V-749536	голова помутиться	128285
128285-V	128285-V-749537	помутиться сознание	128285
9767-V	9767-V-673648	делать рентген	9767
9767-V	9767-V-673649	сделать рентген	9767
6962-V	6962-V-182490	пониженный острота слух	6962
7000-V	7000-V-209449	работать сверхурочно	7000
140415-V	140415-V-725654	болезнь осложняться	140415
140415-V	140415-V-719780	осложняться	140415
140415-V	140415-V-719781	осложниться	140415
151774-V	151774-V-745428	привязать к постель	151774
136951-V	136951-V-722313	эвтаназировать	136951
4521-V	4521-V-134133	вакцинировать	4521
4521-V	4521-V-189399	привиться	4521
4521-V	4521-V-149056	привить	4521
4521-V	4521-V-149049	прививать	4521
4521-V	4521-V-189400	прививаться	4521
6961-V	6961-V-182491	пониженный острота зрение	6961
116668-V	116668-V-119544	кашлять	116668
116668-V	116668-V-707673	кашлянуть	116668
116668-V	116668-V-137999	закашлять	116668
111388-V	111388-V-151669	резать	111388
9457-N	9457-N-121613	кожный заболевание	9457
9457-N	9457-N-133774	болезнь кожа	9457
9457-N	9457-N-119820	кожный болезнь	9457
110638-N	110638-N-141561	лихорадка	110638
110638-N	110638-N-729064	лихорадочный состояние	110638
110638-N	110638-N-181311	горячка	110638
150611-N	150611-N-732886	пластика нос	150611
9670-N	9670-N-120668	грибковый заболевание	9670
125041-N	125041-N-165820	замораживание	125041
125041-N	125041-N-120981	местный обезболивание	125041
125041-N	125041-N-120979	местный анестетика	125041
125041-N	125041-N-182719	заморозка	125041
2635-N	2635-N-753521	употребление наркотик	2635
2635-N	2635-N-125353	потребление наркотик	2635
2635-N	2635-N-125365	наркотоксикомания	2635
2635-N	2635-N-125332	наркозависимость	2635
2635-N	2635-N-202717	наркоманизация	2635
2635-N	2635-N-125361	наркотический зависимость	2635
2635-N	2635-N-107204	наркомания	2635
2635-N	2635-N-756702	зависимость от наркотик	2635
2635-N	2635-N-119091	злоупотребление наркотический средство	2635
144833-N	144833-N-686857	вегето-сосудистый дистония	144833
126757-N	126757-N-119846	цирроз	126757
129454-N	129454-N-160289	свищ	129454
6481-N	6481-N-123570	врожденный патология	6481
118096-N	118096-N-734877	рубцевание рана	118096
136989-N	136989-N-199355	климатолечение	136989
140415-N	140415-N-719788	осложненный течение	140415
140415-N	140415-N-162543	осложнение	140415
140415-N	140415-N-209744	осложнение болезнь	140415
4955-N	4955-N-108264	острый кишечный инфекция	4955
4955-N	4955-N-115808	острый кишечный заболевание	4955
4955-N	4955-N-104872	кишечный инфекционный заболевание	4955
5414-N	5414-N-117532	профилактика беременность	5414
5414-N	5414-N-109611	предупреждение беременность	5414
10085-N	10085-N-122190	мануальный терапия	10085
9767-N	9767-N-704546	рентгеновский просвечивание	9767
9767-N	9767-N-704539	рентгеновский диагностика	9767
9767-N	9767-N-704547	радиография	9767
9767-N	9767-N-191031	рентген	9767
9767-N	9767-N-704542	радиодиагностика	9767
9767-N	9767-N-704543	рентгенографирование	9767
9767-N	9767-N-121422	рентгенодиагностика	9767
9767-N	9767-N-704541	рентгенологический диагностика	9767
9767-N	9767-N-124282	рентгенологический исследование	9767
9767-N	9767-N-121424	рентгеноскопия	9767
9767-N	9767-N-704545	радиографический исследование	9767
9767-N	9767-N-121785	лучевой диагностика	9767
9767-N	9767-N-704544	рентгеносъемка	9767
112643-N	112643-N-139869	катар желудок	112643
130761-N	130761-N-181508	олигофрен	130761
130761-N	130761-N-181509	даун	130761
130761-N	130761-N-181510	дебил	130761
130761-N	130761-N-191268	дебилка	130761
10199-N	10199-N-123831	болезнь печень	10199
144031-N	144031-N-714685	аутистический мышление	144031
3949-N	3949-N-188706	психический нездоровье	3949
3949-N	3949-N-110238	психический заболевание	3949
3949-N	3949-N-188707	психический недуг	3949
3949-N	3949-N-188704	психический недостаток	3949
3949-N	3949-N-122221	психический болезнь	3949
3949-N	3949-N-165265	психзаболевание	3949
3949-N	3949-N-679012	отклонение в психика	3949
3949-N	3949-N-107564	нервно-психический расстройство	3949
3949-N	3949-N-118804	нервно-психический отклонение	3949
3949-N	3949-N-118991	нервный расстройство	3949
